Title,Description
Apple Pie Cookie,"thick rolled oats, organic butter, organic dried apples, brown sugar, White Sonora 100% whole-wheat flour, organic eggs, organic sugar, baking soda, salt, organic cinnamon, organic nutmeg, organic cardamom, organic ginger, organic allspice"
Apricot Cherry Sourdough Bread,"whole-grain Einkorn flour, organic bread flour, sourdough culture (organic wheat flour, water), organic unsulfured apricots, organic unsulfured cherries, sea salt, organic lemon zest, water. Trace amounts of olive oil and rice flour for prep."
Baguette,"whole-grain (organic) wheat flour, bread flour, water, sourdough culture (wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Brioche Cinnamon Roll,"Rouge de Bordeaux flour, organic bread flour, butter, milk, organic eggs, organic brown sugar, powdered sugar, organic cane sugar, organic cinnamon, instant yeast, sea salt, organic vanilla"
Thaw-and-Bake Cinnamon Rolls,"Turkey Red Flour, Organic Bread Flour, Butter, Milk, Organic Eggs, Organic Brown Sugar, Powdered Sugar, Organic Cane Sugar, Organic Cinnamon, Instant Yeast, Sea Salt, Organic Vanilla"
Brown Butter Dark Chocolate Chip Cookie,"Turkey Red/Rustic Red/White Sonora 100% whole-wheat flour blend, butter, chocolate chips, organic brown sugar, organic cane sugar, organic eggs, vanilla, sea salt, baking soda"
Brown Butter Milk Chocolate Chip Pecan Cookie,"Turkey Red/Rustic Red/White Sonora 100% whole-wheat flour blend, butter, chocolate chips, organic brown sugar, organic cane sugar, pecans, organic eggs, vanilla, sea salt, baking soda"
Brownie Cookie,"organic cane sugar, bittersweet chocolate chips, white chocolate chips, organic 100% whole-grain dark rye flour, organic eggs, unsalted butter, organic cocoa powder, sea salt, baking powder, vanilla"
Butterfly Sourdough Bread,"whole-grain White Sonora wheat flour, organic bread flour, water, tea from dried whole butterfly pea flowers, sourdough culture (organic wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Chocolate Cherry Bread,"whole-grain Rouge de Bordeaux wheat flour, organic bread flour, water, dark chocolate chips, organic dried tart Montmorency cherries, sourdough culture (organic wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Chocolate-Pistachio Babka,"White Sonora Flour, Bread Flour, Milk, Cane Sugar, Eggs, Dark Chocolate Chunks, Pistachios, Sea Salt, Lemon Zest, Orange Zest, Vanilla, Instant Yeast"
Cinnamon & Oat Pancake Mix,"whole-grain White Sonora wheat flour, thick-rolled oats, organic sugar, baking powder, organic cinnamon, salt"
Cinnamon Pecan Sourdough Bread,"whole-grain (organic) Spelt flour, organic bread flour, water, sourdough culture (wheat flour, water), organic pecans, organic honey, sea salt, organic cinnamon. Trace amounts of olive oil and rice flour for prep."
Cinnamon Raisin Bread,"whole-grain Rouge de Bordeaux wheat flour, organic bread flour, water, organic raisins, sourdough culture (organic wheat flour, water), sea salt, organic cinnamon. Trace amounts of olive oil and rice flour for prep."
Country Sourdough Bread,"whole-grain wheat flour blend, organic bread flour, water, sourdough culture (organic wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Cranberry Pecan Bread,"whole-grain Rouge de Bordeaux wheat flour, organic bread flour, water, pecans, organic dried cranberries, sourdough culture (organic wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Einkorn Pancake Mix,"whole-grain Einkorn wheat flour, baking powder, organic sugar, salt"
Einkorn Sourdough Bread,"whole-grain Einkorn flour, organic bread flour, sourdough culture (organic wheat flour, water), sea salt, water. Trace amounts of olive oil and rice flour for prep."
